Address,Baths,Beds,Price,Size,Suffix
"Sector 9, Uttara.",3,3,"7,000,000","1,250 sqft", total price
"Pallabi, Mirpur, Dhaka.",3,3,"6,000","1,335 sqft", per sqft
West Panthopoth,2,3,"6,600,000","1,200 sqft", total price
Indira Road,4,3,"16,000,000","1,678 sqft", total price
Gulshan2 Dhaka 1212 Residential property,4,3,"20,000,000","2,050 sqft", total price
Gulshan 2 Dhaka 1212 Residential property,4,3,"20,000","2,500 sqft", per sqft
Uttara,3,3,"5,050","1,652 sqft", per sqft
"House 36/1, Road 15/1, Avenue 5, Pallabi, Mirpur 11, Dhaka.",3,3,"3,900","1,284 sqft", per sqft
Basundhara R/A,3,3,"5,800","1,550 sqft", per sqft
Banani,2,3,"25,000,000","1,890 sqft", total price
Banani,2,3,"25,000,000","1,890 sqft", total price
Gulshan,3,3,"28,500,000","1,800 sqft", total price
Uttara,3,3,"10,000","1,750 sqft", per sqft
Gulshan north,4,4,"80,000,000","4,500 sqft", total price
Uttara,4,3,"10,000,000","1,545 sqft", total price
Uttara,3,3,"8,500","1,500 sqft", per sqft
Badda,1,2,"8,500,000","1,050 sqft", total price
Ashkona Dakshin khan,2,2,"4,500,000","1,030 sqft", total price
Uttara,3,3,"9,500","2,202 sqft", per sqft
Uttara,5,3,"20,500,000","2,184 sqft", total price
Uttara,5,3,"20,500,000","2,184 sqft", total price
Banani,4,3,"30,000,000","2,380 sqft", total price
Gulshan North,5,4,"45,000,000","2,800 sqft", total price
Basundhara R/A,3,3,"5,850","1,550 sqft", per sqft
Uttara,4,4,"8,500","2,075 sqft", per sqft
Lalmatia,5,4,"6,500","2,500 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,550 sqft", per sqft
10/3/3 Wasa road basabo landscape nebula,2,3,"5,000",970 sqft, per sqft
Uttara,4,3,"11,000,000","1,376 sqft", total price
Uttara,4,3,"11,000,000","1,376 sqft", total price
Uttara,3,3,"15,000,000","2,100 sqft", total price
Uttara,5,3,"12,000,000","1,257 sqft", total price
Uttara,4,3,"7,500","1,530 sqft", per sqft
Uttara,3,3,"8,000","1,500 sqft", per sqft
